Legajo;Genero;Yr_ingreso;Yr_nacimiento;Edad_hoy;Edad_al_ingreso;Cantidad_de_hijos;Distancia_al_trabajo;Trabajo_flexible;Egreso_de_la_empresa;Nivel_formacion
139721;Mujer;2011;1979;40;32;1;11.00;No;No;Prim inc
139722;Hombre;2011;1982;37;29;2;8.00;Si;Si;Prim inc
139723;Mujer;2011;1991;28;20;1;44.00;No;No;Prim com
139724;Hombre;2011;1984;35;27;0;58.00;Si;No;Sec com
139725;Mujer;2011;1988;31;23;1;19.00;No;No;Uni com
139726;Hombre;2011;1985;34;26;1;22.00;No;No;Uni com
139727;Mujer;2011;1988;31;23;0;66.00;Si;No;Prim com
139728;Hombre;2011;1988;31;23;0;36.00;No;No;Sec com
139729;Hombre;2011;1980;39;31;0;40.00;No;No;Prim com
139730;Mujer;2011;1986;33;25;0;15.00;Si;Si;Sec com
139731;Mujer;2011;1977;42;34;1;11.00;No;Si;Sec com
139732;Hombre;2011;1978;41;33;4;38.00;No;No;Uni com
139733;Mujer;2011;1991;28;20;1;51.00;Si;Si;Uni com
139734;Mujer;2011;1977;42;34;3;3.00;Si;Si;Prim com
139735;Mujer;2011;1986;33;25;0;38.00;Si;Si;Prim com
139736;Mujer;2011;1977;42;34;4;30.00;Si;Si;Uni com
139737;Mujer;2011;1978;41;33;2;42.00;Si;Si;Prim inc
139738;Mujer;2011;1981;38;30;1;49.00;Si;Si;Prim com
139739;Mujer;2011;1978;41;33;4;32.00;Si;Si;Sec com
139740;Mujer;2011;1976;43;35;2;75.00;Si;No;Prim com
139741;Mujer;2011;1978;41;33;1;54.00;No;Si;Prim inc
139742;Mujer;2011;1977;42;34;2;15.00;No;Si;Sec com
139743;Mujer;2011;1982;37;29;1;56.00;Si;Si;Uni com
139744;Mujer;2011;1981;38;30;0;35.00;No;Si;Uni com
139745;Mujer;2011;1981;38;30;0;34.00;No;Si;Sec com
139746;Hombre;2011;1980;39;31;0;50.00;No;No;Prim com
139747;Mujer;2011;1979;40;32;4;2.00;Si;No;Uni com
139748;Hombre;2011;1985;34;26;0;18.00;No;Si;Prim com
139749;Mujer;2011;1979;40;32;3;31.00;Si;Si;Uni com
139750;Hombre;2011;1988;31;23;2;39.00;No;Si;Uni com
139751;Hombre;2011;1978;41;33;1;68.00;No;Si;Sec com
139752;Mujer;2011;1981;38;30;3;17.00;Si;Si;Sec com
139753;Hombre;2011;1990;29;21;0;24.00;No;No;Sec com
139754;Hombre;2011;1987;32;24;0;23.00;No;Si;Prim inc
139755;Hombre;2011;1980;39;31;1;43.00;Si;Si;Uni com
139756;Hombre;2011;1985;34;26;0;43.00;No;Si;Prim inc
139757;Hombre;2011;1990;29;21;2;46.00;Si;Si;Uni com
139758;Hombre;2011;1980;39;31;1;25.00;No;Si;Uni com
139759;Mujer;2011;1991;28;20;0;55.00;Si;No;Uni com
139760;Hombre;2011;1981;38;30;0;17.00;Si;Si;Uni com
139761;Hombre;2011;1984;35;27;3;25.00;No;Si;Prim inc
139762;Hombre;2011;1991;28;20;0;43.00;No;Si;Sec com
139763;Hombre;2011;1990;29;21;0;75.00;Si;Si;Uni com
139764;Hombre;2011;1991;28;20;0;60.00;Si;Si;Uni com
139765;Hombre;2011;1984;35;27;2;63.00;No;Si;Prim inc
139766;Hombre;2011;1990;29;21;3;25.00;Si;Si;Sec com
139767;Hombre;2011;1979;40;32;1;11.00;Si;Si;Uni com
139768;Mujer;2011;1990;29;21;0;28.00;Si;No;Sec com
139769;Hombre;2011;1986;33;25;0;42.00;Si;Si;Uni com
139770;Hombre;2011;1988;31;23;0;9.00;No;Si;Prim com
139771;Mujer;2011;1978;41;33;0;37.00;Si;No;Prim com
139772;Hombre;2011;1987;32;24;2;42.00;No;No;Sec com
139773;Hombre;2011;1983;36;28;2;19.00;No;Si;Sec com
139774;Hombre;2011;1991;28;20;1;6.00;No;Si;Sec com
139775;Mujer;2011;1983;36;28;0;65.00;No;Si;Prim inc
139776;Mujer;2011;1982;37;29;3;12.00;No;Si;Prim inc
139777;Mujer;2011;1978;41;33;1;56.00;No;Si;Sec com
139778;Mujer;2011;1989;30;22;3;15.00;No;Si;Prim inc
139779;Mujer;2011;1977;42;34;1;28.00;No;Si;Prim com
139780;Mujer;2011;1989;30;22;1;40.00;No;Si;Uni com
139781;Hombre;2011;1978;41;33;2;63.00;No;No;Prim com
139782;Mujer;2011;1981;38;30;3;24.00;No;Si;Uni com
139783;Mujer;2011;1981;38;30;0;68.00;No;Si;Uni com
139784;Hombre;2011;1978;41;33;1;63.00;No;No;Sec com
139785;Hombre;2011;1984;35;27;1;42.00;Si;Si;Prim com
139786;Hombre;2011;1988;31;23;0;64.00;No;No;Prim inc
139787;Mujer;2011;1977;42;34;3;73.00;Si;No;Sec com
139788;Mujer;2011;1979;40;32;2;59.00;Si;No;Prim inc
139789;Mujer;2011;1979;40;32;4;12.00;Si;No;Uni com
139790;Mujer;2011;1981;38;30;2;49.00;Si;No;Uni com
139791;Mujer;2011;1985;34;26;0;31.00;No;Si;Sec com
139792;Hombre;2011;1983;36;28;3;25.00;Si;Si;Uni com
139793;Hombre;2011;1987;32;24;3;38.00;Si;Si;Prim com
139794;Mujer;2011;1979;40;32;0;32.00;No;Si;Prim inc
139795;Hombre;2011;1988;31;23;0;28.00;Si;Si;Sec com
139796;Mujer;2011;1989;30;22;0;31.00;Si;No;Uni com
139797;Hombre;2011;1976;43;35;2;7.00;Si;Si;Uni com
139798;Mujer;2011;1976;43;35;1;61.00;No;No;Uni com
139799;Mujer;2011;1980;39;31;3;48.00;No;No;Prim inc
139800;Mujer;2011;1989;30;22;2;16.00;No;Si;Prim inc
139801;Mujer;2011;1981;38;30;1;36.00;Si;No;Prim com
139802;Mujer;2011;1988;31;23;1;46.00;Si;No;Uni com
139803;Mujer;2011;1981;38;30;2;64.00;Si;No;Prim inc
139804;Mujer;2011;1980;39;31;0;54.00;Si;No;Prim com
139805;Hombre;2011;1982;37;29;2;10.00;No;Si;Uni com
139806;Hombre;2011;1979;40;32;2;65.00;Si;Si;Sec com
139807;Hombre;2011;1976;43;35;1;44.00;Si;Si;Uni com
139808;Mujer;2011;1981;38;30;0;25.00;No;Si;Prim com
139809;Hombre;2011;1981;38;30;0;39.00;Si;Si;Uni com
139810;Hombre;2011;1989;30;22;0;30.00;Si;Si;Prim inc
139811;Hombre;2011;1976;43;35;2;74.00;Si;Si;Prim inc
139812;Mujer;2011;1981;38;30;0;44.00;No;Si;Prim inc
139813;Hombre;2011;1989;30;22;1;23.00;Si;Si;Prim inc
139814;Hombre;2011;1987;32;24;0;1.00;Si;Si;Uni com
139815;Hombre;2011;1979;40;32;0;62.00;Si;Si;Sec com
139816;Hombre;2011;1979;40;32;1;15.00;No;Si;Uni com
139817;Hombre;2011;1985;34;26;1;52.00;Si;Si;Prim inc
139818;Hombre;2011;1987;32;24;0;26.00;No;Si;Prim inc
139819;Hombre;2011;1977;42;34;0;43.00;Si;Si;Prim inc
139820;Mujer;2011;1985;34;26;0;49.00;No;No;Sec com
139821;Mujer;2011;1991;28;20;2;72.00;Si;No;Uni com
139822;Mujer;2011;1986;33;25;3;57.00;No;No;Prim com
139823;Hombre;2011;1978;41;33;2;3.00;No;Si;Uni com
139824;Hombre;2011;1976;43;35;1;48.00;Si;Si;Prim inc
139825;Hombre;2011;1980;39;31;4;36.00;No;Si;Sec com
139826;Mujer;2011;1982;37;29;2;40.00;Si;No;Prim inc
139827;Mujer;2011;1988;31;23;1;42.00;No;No;Uni com
139828;Hombre;2011;1978;41;33;1;33.00;Si;Si;Sec com
139829;Hombre;2011;1990;29;21;0;3.00;No;Si;Prim com
139830;Hombre;2011;1986;33;25;1;53.00;No;Si;Uni com
139831;Mujer;2011;1985;34;26;1;69.00;No;No;Prim inc
139832;Mujer;2011;1982;37;29;2;74.00;Si;No;Prim inc
139833;Mujer;2011;1981;38;30;4;68.00;No;No;Prim com
139834;Hombre;2011;1986;33;25;2;25.00;No;Si;Prim inc
139835;Hombre;2011;1987;32;24;0;61.00;No;Si;Prim com
139836;Hombre;2011;1979;40;32;2;6.00;Si;Si;Sec com
139837;Mujer;2011;1990;29;21;0;23.00;No;No;Sec com
139838;Mujer;2011;1984;35;27;2;19.00;Si;No;Prim inc
139839;Hombre;2011;1988;31;23;3;21.00;No;Si;Uni com
139840;Mujer;2011;1976;43;35;0;14.00;No;No;Prim inc
139841;Mujer;2011;1986;33;25;1;17.00;No;No;Prim inc
139842;Hombre;2011;1987;32;24;3;30.00;Si;Si;Uni com
139843;Hombre;2011;1991;28;20;3;61.00;Si;Si;Prim com
139844;Hombre;2011;1977;42;34;0;69.00;Si;Si;Sec com
139845;Hombre;2011;1976;43;35;2;53.00;Si;Si;Prim inc
139846;Hombre;2011;1976;43;35;1;10.00;No;Si;Prim com
139847;Mujer;2011;1979;40;32;0;46.00;Si;No;Sec com
139848;Hombre;2011;1986;33;25;1;35.00;Si;Si;Prim inc
139849;Mujer;2011;1988;31;23;1;45.00;No;No;Sec com
139850;Hombre;2011;1991;28;20;2;31.00;Si;Si;Uni com
139851;Hombre;2011;1981;38;30;4;65.00;No;Si;Sec com
139852;Hombre;2011;1987;32;24;1;16.00;Si;Si;Uni com
139853;Hombre;2011;1980;39;31;1;70.00;No;Si;Prim com
139854;Hombre;2011;1985;34;26;2;12.00;Si;Si;Sec com
139855;Hombre;2011;1984;35;27;2;34.00;No;Si;Uni com
139856;Mujer;2011;1985;34;26;1;17.00;No;No;Prim inc
139857;Hombre;2011;1979;40;32;1;70.00;No;No;Sec com
139858;Hombre;2011;1988;31;23;2;50.00;No;Si;Prim inc
139859;Hombre;2011;1983;36;28;2;5.00;Si;Si;Uni com
139860;Hombre;2011;1978;41;33;0;61.00;No;No;Prim inc
139861;Hombre;2011;1987;32;24;1;44.00;Si;Si;Sec com
139862;Mujer;2011;1980;39;31;4;55.00;Si;No;Prim inc
139863;Hombre;2011;1976;43;35;1;25.00;No;No;Prim com
139864;Hombre;2011;1980;39;31;1;49.00;Si;Si;Sec com
139865;Hombre;2011;1980;39;31;0;66.00;No;No;Prim com
139866;Hombre;2011;1987;32;24;2;36.00;No;No;Prim inc
139867;Hombre;2011;1991;28;20;0;27.00;No;Si;Prim inc
139868;Hombre;2011;1976;43;35;0;75.00;No;No;Prim inc
139869;Hombre;2011;1989;30;22;2;32.00;Si;Si;Prim inc
139870;Hombre;2011;1976;43;35;2;40.00;No;No;Prim com
139871;Mujer;2011;1977;42;34;0;28.00;Si;No;Uni com
139872;Hombre;2011;1981;38;30;1;58.00;No;Si;Sec com
139873;Hombre;2011;1984;35;27;0;5.00;No;Si;Prim com
139874;Hombre;2011;1981;38;30;2;45.00;Si;No;Prim inc
139875;Hombre;2011;1990;29;21;3;2.00;Si;Si;Uni com
139876;Hombre;2011;1977;42;34;1;58.00;Si;No;Sec com
139877;Hombre;2011;1983;36;28;0;2.00;No;Si;Sec com
139878;Mujer;2011;1979;40;32;1;32.00;No;Si;Sec com
139879;Hombre;2011;1991;28;20;0;74.00;Si;Si;Sec com
139880;Mujer;2011;1980;39;31;1;11.00;No;Si;Sec com
139881;Hombre;2011;1982;37;29;4;18.00;Si;Si;Prim com
139882;Hombre;2011;1976;43;35;0;72.00;Si;Si;Sec com
139883;Hombre;2011;1989;30;22;1;8.00;Si;Si;Prim inc
139884;Hombre;2011;1989;30;22;1;12.00;No;No;Sec com
139885;Mujer;2011;1977;42;34;3;13.00;Si;Si;Sec com
139886;Hombre;2011;1990;29;21;0;2.00;No;Si;Uni com
139887;Hombre;2011;1988;31;23;0;60.00;No;No;Prim inc
139888;Mujer;2011;1977;42;34;3;56.00;No;Si;Uni com
139889;Hombre;2011;1991;28;20;2;9.00;No;Si;Prim com
139890;Hombre;2011;1988;31;23;3;44.00;Si;No;Prim com
139891;Mujer;2011;1980;39;31;0;73.00;Si;Si;Sec com
139892;Hombre;2011;1987;32;24;0;53.00;No;No;Uni com
139893;Mujer;2011;1986;33;25;1;46.00;No;Si;Prim inc
139894;Mujer;2011;1985;34;26;0;55.00;No;Si;Prim com
139895;Mujer;2011;1985;34;26;1;11.00;No;Si;Prim inc
139896;Mujer;2011;1990;29;21;3;22.00;No;Si;Prim com
139897;Hombre;2011;1976;43;35;1;21.00;Si;No;Prim inc
139898;Mujer;2011;1991;28;20;0;59.00;No;Si;Uni com
139899;Mujer;2011;1986;33;25;3;25.00;No;Si;Prim inc
139900;Mujer;2011;1986;33;25;0;19.00;No;Si;Sec com
139901;Hombre;2011;1989;30;22;2;74.00;No;Si;Uni com
139902;Hombre;2011;1990;29;21;0;24.00;No;Si;Sec com
139903;Hombre;2011;1982;37;29;2;69.00;No;No;Sec com
139904;Hombre;2011;1985;34;26;3;35.00;No;Si;Prim com
139905;Hombre;2011;1984;35;27;1;6.00;Si;Si;Prim inc
139906;Hombre;2011;1989;30;22;1;41.00;Si;No;Prim com
139907;Hombre;2011;1990;29;21;0;6.00;Si;Si;Sec com
139908;Hombre;2011;1977;42;34;3;23.00;No;Si;Prim com
139909;Mujer;2011;1982;37;29;0;53.00;Si;Si;Uni com
139910;Hombre;2011;1985;34;26;0;42.00;No;Si;Prim inc
139911;Mujer;2011;1982;37;29;2;18.00;Si;Si;Uni com
139912;Hombre;2011;1977;42;34;1;4.00;No;Si;Prim inc
139913;Hombre;2011;1982;37;29;0;71.00;No;No;Prim com
139914;Hombre;2011;1990;29;21;1;36.00;No;Si;Prim inc
139915;Hombre;2011;1989;30;22;0;71.00;No;No;Uni com
139916;Mujer;2011;1987;32;24;3;11.00;Si;Si;Uni com
139917;Mujer;2011;1977;42;34;2;24.00;Si;Si;Prim inc
139918;Hombre;2011;1986;33;25;2;37.00;Si;No;Prim inc
139919;Hombre;2011;1982;37;29;1;17.00;Si;No;Prim inc
139920;Hombre;2011;1985;34;26;0;54.00;No;Si;Sec com
139921;Hombre;2011;1984;35;27;0;58.00;Si;No;Prim com
139922;Hombre;2011;1979;40;32;3;55.00;No;Si;Sec com
139923;Hombre;2011;1987;32;24;1;65.00;No;Si;Sec com
139924;Hombre;2011;1988;31;23;3;10.00;No;Si;Uni com
139925;Hombre;2011;1987;32;24;2;5.00;Si;Si;Prim inc
139926;Hombre;2011;1991;28;20;0;64.00;No;Si;Prim com
139927;Hombre;2011;1983;36;28;0;34.00;No;Si;Prim com
139928;Hombre;2011;1982;37;29;4;54.00;No;No;Uni com
139929;Hombre;2011;1985;34;26;1;69.00;No;No;Uni com
139930;Hombre;2011;1991;28;20;2;75.00;Si;No;Sec com
139931;Mujer;2011;1979;40;32;1;72.00;Si;Si;Prim inc
139932;Mujer;2011;1984;35;27;2;44.00;Si;Si;Uni com
139933;Hombre;2011;1985;34;26;2;12.00;Si;No;Uni com
139934;Hombre;2011;1978;41;33;1;35.00;Si;No;Uni com
139935;Hombre;2011;1982;37;29;0;70.00;Si;No;Uni com
139936;Hombre;2011;1984;35;27;2;10.00;Si;No;Uni com
139937;Hombre;2011;1982;37;29;3;26.00;Si;No;Uni com
139938;Hombre;2011;1981;38;30;4;73.00;Si;No;Uni com
139939;Hombre;2011;1985;34;26;2;30.00;Si;No;Prim com
139940;Hombre;2011;1979;40;32;1;6.00;No;Si;Prim inc
139941;Hombre;2011;1986;33;25;0;5.00;Si;No;Prim com
139942;Hombre;2011;1989;30;22;0;46.00;No;Si;Sec com
139943;Hombre;2011;1979;40;32;2;75.00;No;No;Sec com
139944;Mujer;2011;1977;42;34;3;50.00;Si;Si;Prim com
139945;Hombre;2011;1985;34;26;2;69.00;No;No;Prim inc
139946;Mujer;2011;1987;32;24;2;57.00;Si;Si;Prim inc
139947;Hombre;2011;1989;30;22;1;75.00;No;No;Prim com
139948;Hombre;2011;1977;42;34;0;45.00;Si;No;Uni com
139949;Mujer;2011;1977;42;34;2;58.00;No;No;Sec com
139950;Mujer;2011;1976;43;35;0;12.00;No;Si;Prim com
139951;Mujer;2011;1982;37;29;2;35.00;No;Si;Prim com
139952;Mujer;2011;1981;38;30;4;74.00;No;No;Sec com
139953;Mujer;2011;1984;35;27;1;18.00;Si;No;Sec com
139954;Mujer;2011;1985;34;26;0;21.00;No;Si;Prim inc
139955;Mujer;2011;1983;36;28;2;37.00;No;No;Prim inc
139956;Mujer;2011;1979;40;32;1;58.00;No;Si;Prim inc
139957;Hombre;2011;1983;36;28;0;6.00;Si;Si;Prim inc
139958;Mujer;2011;1980;39;31;0;41.00;Si;Si;Prim inc
139959;Mujer;2011;1991;28;20;0;46.00;No;Si;Uni com
139960;Mujer;2011;1991;28;20;2;15.00;Si;Si;Prim com
139961;Mujer;2011;1978;41;33;4;61.00;Si;Si;Uni com
139962;Mujer;2011;1991;28;20;2;67.00;No;Si;Prim com
139963;Mujer;2011;1982;37;29;2;50.00;No;No;Uni com
139964;Mujer;2011;1991;28;20;3;55.00;Si;No;Prim com
139965;Mujer;2011;1979;40;32;0;30.00;No;No;Prim com
139966;Hombre;2011;1985;34;26;0;10.00;Si;Si;Prim inc
139967;Mujer;2011;1984;35;27;1;54.00;No;No;Uni com
139968;Mujer;2011;1981;38;30;1;73.00;Si;No;Uni com
139969;Mujer;2011;1989;30;22;3;8.00;Si;Si;Uni com
139970;Mujer;2011;1987;32;24;2;18.00;Si;No;Prim com
139971;Mujer;2011;1987;32;24;1;30.00;Si;No;Prim inc
139972;Hombre;2011;1983;36;28;2;54.00;Si;Si;Prim inc
139973;Mujer;2011;1982;37;29;1;41.00;No;Si;Prim com
139974;Hombre;2011;1985;34;26;1;61.00;No;Si;Prim com
139975;Hombre;2011;1981;38;30;2;38.00;No;Si;Prim inc
139976;Hombre;2011;1986;33;25;1;41.00;No;Si;Sec com
139977;Hombre;2011;1982;37;29;3;23.00;No;Si;Prim inc
139978;Hombre;2011;1980;39;31;2;28.00;No;Si;Prim inc
139979;Mujer;2011;1982;37;29;3;70.00;Si;No;Sec com
139980;Hombre;2011;1978;41;33;1;6.00;Si;Si;Prim inc
139981;Mujer;2011;1981;38;30;0;72.00;No;No;Prim inc
139982;Hombre;2011;1980;39;31;1;55.00;Si;Si;Uni com
139983;Hombre;2011;1983;36;28;1;57.00;No;Si;Prim inc
139984;Hombre;2011;1989;30;22;0;6.00;Si;No;Uni com
139985;Mujer;2011;1983;36;28;0;59.00;No;No;Prim inc
139986;Mujer;2011;1977;42;34;1;30.00;Si;No;Prim inc
139987;Hombre;2011;1977;42;34;1;42.00;Si;Si;Prim com
139988;Mujer;2011;1982;37;29;0;45.00;Si;No;Sec com
139989;Hombre;2011;1981;38;30;2;16.00;Si;Si;Prim inc
139990;Mujer;2011;1988;31;23;2;53.00;No;No;Sec com
139991;Mujer;2011;1989;30;22;0;24.00;Si;No;Sec com
139992;Hombre;2011;1976;43;35;1;56.00;No;Si;Prim com
139993;Hombre;2011;1988;31;23;3;52.00;Si;Si;Prim com
139994;Hombre;2011;1976;43;35;0;2.00;Si;No;Prim com
139995;Hombre;2011;1988;31;23;2;58.00;Si;Si;Sec com
139996;Hombre;2011;1987;32;24;3;11.00;No;Si;Prim com
139997;Hombre;2011;1982;37;29;1;22.00;No;Si;Prim com
139998;Mujer;2011;1982;37;29;1;62.00;Si;No;Uni com
139999;Mujer;2011;1984;35;27;0;55.00;Si;No;Uni com
140000;Hombre;2011;1991;28;20;2;47.00;No;Si;Prim com
140001;Hombre;2011;1976;43;35;1;4.00;Si;Si;Prim com
140002;Mujer;2011;1984;35;27;0;61.00;No;No;Sec com
140003;Hombre;2011;1976;43;35;0;65.00;No;Si;Prim inc
140004;Hombre;2011;1987;32;24;2;11.00;Si;Si;Uni com
140005;Hombre;2011;1977;42;34;2;25.00;No;Si;Uni com
140006;Mujer;2011;1979;40;32;4;15.00;No;Si;Uni com
140007;Hombre;2011;1989;30;22;2;39.00;Si;Si;Prim com
140008;Mujer;2011;1988;31;23;1;41.00;No;Si;Prim inc
140009;Mujer;2011;1980;39;31;2;72.00;Si;No;Prim inc
140010;Hombre;2011;1985;34;26;1;33.00;Si;Si;Prim com
140011;Hombre;2011;1988;31;23;0;1.00;Si;Si;Sec com
140012;Hombre;2011;1985;34;26;0;47.00;Si;Si;Sec com
140013;Mujer;2011;1981;38;30;2;38.00;No;Si;Uni com
140014;Hombre;2011;1987;32;24;2;32.00;Si;Si;Sec com
140015;Mujer;2011;1987;32;24;1;43.00;No;No;Sec com
140016;Hombre;2011;1988;31;23;0;75.00;Si;Si;Uni com
140017;Mujer;2011;1982;37;29;4;22.00;No;Si;Prim com
140018;Mujer;2011;1986;33;25;2;37.00;Si;No;Uni com
140019;Hombre;2011;1991;28;20;1;1.00;Si;Si;Uni com
140020;Mujer;2011;1990;29;21;0;73.00;No;Si;Prim com
140021;Mujer;2011;1989;30;22;0;11.00;No;No;Uni com
140022;Mujer;2011;1990;29;21;0;63.00;Si;No;Sec com
140023;Mujer;2011;1980;39;31;2;72.00;No;No;Prim com
140024;Mujer;2011;1979;40;32;2;7.00;No;Si;Prim inc
140025;Mujer;2011;1983;36;28;0;61.00;No;No;Prim com
140026;Mujer;2011;1986;33;25;2;50.00;No;No;Sec com
140027;Mujer;2011;1989;30;22;3;57.00;No;Si;Prim inc
140028;Hombre;2011;1979;40;32;2;21.00;Si;Si;Prim inc
140029;Mujer;2011;1983;36;28;0;46.00;Si;No;Uni com
140030;Mujer;2011;1976;43;35;1;62.00;Si;No;Sec com
140031;Hombre;2011;1987;32;24;0;43.00;No;No;Sec com
140032;Mujer;2011;1979;40;32;1;45.00;No;Si;Sec com
140033;Mujer;2011;1981;38;30;0;46.00;Si;No;Prim inc
140034;Mujer;2011;1977;42;34;3;41.00;No;Si;Prim com
140035;Mujer;2011;1990;29;21;0;59.00;No;Si;Prim inc
140036;Hombre;2011;1984;35;27;1;63.00;Si;Si;Prim com
140037;Hombre;2011;1978;41;33;1;66.00;Si;Si;Sec com
140038;Mujer;2011;1978;41;33;2;46.00;No;Si;Uni com
140039;Hombre;2011;1986;33;25;1;19.00;No;No;Prim inc
140040;Mujer;2011;1988;31;23;1;27.00;No;Si;Prim inc
140041;Hombre;2011;1986;33;25;2;61.00;No;No;Sec com
140042;Mujer;2011;1987;32;24;0;50.00;Si;No;Sec com
140043;Mujer;2011;1990;29;21;0;49.00;Si;No;Prim inc
140044;Hombre;2011;1978;41;33;4;66.00;No;No;Prim com
140045;Hombre;2011;1977;42;34;2;10.00;Si;Si;Sec com
140046;Hombre;2011;1988;31;23;2;10.00;Si;Si;Prim com
140047;Mujer;2011;1979;40;32;0;39.00;No;Si;Sec com
140048;Hombre;2011;1987;32;24;1;37.00;No;No;Uni com
140049;Hombre;2011;1980;39;31;3;17.00;No;No;Prim com
140050;Hombre;2011;1985;34;26;0;2.00;No;Si;Sec com
140051;Mujer;2011;1989;30;22;0;45.00;Si;No;Prim inc
140052;Mujer;2011;1978;41;33;4;42.00;Si;No;Prim inc
140053;Hombre;2011;1981;38;30;2;29.00;No;No;Uni com
140054;Mujer;2011;1987;32;24;0;45.00;Si;No;Sec com
140055;Mujer;2011;1985;34;26;1;75.00;No;Si;Prim com
140056;Mujer;2011;1983;36;28;0;44.00;Si;No;Prim inc
140057;Mujer;2011;1984;35;27;0;71.00;Si;No;Uni com
140058;Mujer;2011;1988;31;23;2;28.00;No;Si;Prim inc
140059;Hombre;2011;1977;42;34;2;4.00;No;No;Prim com
140060;Hombre;2011;1981;38;30;0;68.00;Si;Si;Sec com
140061;Hombre;2011;1977;42;34;0;4.00;Si;No;Uni com
140062;Mujer;2011;1982;37;29;1;38.00;No;Si;Uni com
140063;Hombre;2011;1985;34;26;0;63.00;Si;No;Uni com
140064;Mujer;2011;1983;36;28;3;27.00;No;Si;Sec com
140065;Hombre;2011;1987;32;24;0;61.00;Si;Si;Prim com
140066;Hombre;2011;1987;32;24;2;4.00;No;Si;Sec com
140067;Hombre;2011;1984;35;27;1;37.00;No;No;Uni com
140068;Hombre;2011;1991;28;20;0;1.00;Si;Si;Prim inc
140069;Hombre;2011;1990;29;21;0;55.00;Si;No;Prim inc
140070;Hombre;2011;1981;38;30;3;75.00;Si;Si;Prim inc
140071;Hombre;2011;1984;35;27;2;2.00;No;Si;Sec com
140072;Hombre;2011;1985;34;26;1;39.00;Si;No;Uni com
140073;Mujer;2011;1990;29;21;1;68.00;No;Si;Prim inc
140074;Hombre;2011;1982;37;29;1;28.00;Si;No;Prim inc
140075;Hombre;2011;1978;41;33;2;17.00;Si;No;Prim com
140076;Mujer;2011;1987;32;24;1;38.00;No;Si;Prim com
140077;Hombre;2011;1990;29;21;0;13.00;No;No;Prim inc
140078;Hombre;2011;1979;40;32;0;23.00;Si;Si;Prim inc
140079;Hombre;2011;1989;30;22;0;49.00;Si;Si;Prim com
140080;Hombre;2011;1983;36;28;1;44.00;Si;Si;Sec com
140081;Mujer;2011;1991;28;20;3;40.00;No;Si;Sec com
140082;Hombre;2011;1989;30;22;0;10.00;Si;Si;Uni com
140083;Hombre;2011;1981;38;30;2;25.00;No;No;Uni com
140084;Hombre;2011;1979;40;32;1;66.00;No;No;Prim inc
140085;Mujer;2011;1982;37;29;2;59.00;No;Si;Sec com
140086;Hombre;2011;1978;41;33;2;55.00;No;No;Prim com
140087;Hombre;2011;1988;31;23;0;70.00;Si;No;Sec com
140088;Hombre;2011;1981;38;30;1;47.00;Si;Si;Prim com
140089;Hombre;2011;1985;34;26;2;29.00;Si;Si;Sec com
140090;Hombre;2011;1984;35;27;2;62.00;No;Si;Sec com
140091;Mujer;2011;1976;43;35;0;39.00;No;No;Prim com
140092;Hombre;2011;1991;28;20;0;53.00;Si;Si;Prim com
140093;Hombre;2011;1990;29;21;1;43.00;Si;No;Prim inc
140094;Hombre;2011;1988;31;23;0;51.00;No;Si;Prim com
140095;Hombre;2011;1991;28;20;3;35.00;Si;Si;Prim inc
140096;Hombre;2011;1986;33;25;1;10.00;Si;Si;Prim inc
140097;Hombre;2011;1982;37;29;4;47.00;Si;No;Uni com
140098;Mujer;2011;1979;40;32;1;36.00;No;No;Prim inc
140099;Mujer;2011;1982;37;29;1;44.00;No;No;Prim com
140100;Hombre;2011;1977;42;34;2;48.00;Si;No;Prim com
140101;Hombre;2011;1986;33;25;1;31.00;No;Si;Uni com
140102;Hombre;2011;1985;34;26;0;31.00;Si;Si;Prim com
140103;Hombre;2011;1983;36;28;0;25.00;Si;No;Prim inc
140104;Hombre;2011;1990;29;21;3;63.00;No;Si;Uni com
140105;Mujer;2011;1985;34;26;1;11.00;Si;No;Prim com
140106;Hombre;2011;1985;34;26;0;23.00;No;Si;Uni com
140107;Hombre;2011;1981;38;30;0;2.00;Si;Si;Uni com
140108;Mujer;2011;1984;35;27;3;45.00;No;No;Prim com
140109;Mujer;2011;1982;37;29;1;37.00;No;No;Sec com
140110;Hombre;2011;1978;41;33;2;47.00;Si;Si;Prim com
140111;Hombre;2011;1979;40;32;2;38.00;Si;Si;Uni com
140112;Hombre;2011;1984;35;27;0;27.00;Si;Si;Prim inc
140113;Hombre;2011;1986;33;25;0;73.00;Si;Si;Prim com
140114;Mujer;2011;1985;34;26;1;21.00;Si;No;Prim inc
140115;Hombre;2011;1981;38;30;2;28.00;No;Si;Prim com
140116;Hombre;2011;1989;30;22;3;18.00;No;Si;Prim com
140117;Hombre;2011;1985;34;26;3;16.00;No;Si;Prim inc
140118;Hombre;2011;1990;29;21;0;9.00;Si;Si;Uni com
140119;Hombre;2011;1980;39;31;0;55.00;Si;Si;Prim com
140120;Mujer;2011;1991;28;20;3;72.00;No;No;Prim inc
140121;Mujer;2011;1976;43;35;2;42.00;No;No;Prim com
140122;Hombre;2011;1976;43;35;4;46.00;Si;Si;Uni com
140123;Hombre;2011;1989;30;22;1;21.00;No;Si;Prim com
140124;Hombre;2011;1978;41;33;3;21.00;No;Si;Sec com
